"type","lineno","license","cust_ID","sched","promised","RO_prn","inv_prn","status","timein","timeout","location","custname","ymm","recno","hat","dateposted","lastitemused","vehicle_ID","writer","odom_in","odom_out","balancedue","writernum","refno","estlaboramt","estpartsamt","esthours","laboramt","partsamt","taxamt","defaultTech","defaultTechParts","hazwaste","shopsupplies","hazwasteamt","shopsuppliesamt","versionstring","taxversion","taxamtmat1","taxamtmat2","taxamtmat3","taxamtmat4","taxamtmat5","taxamtmat6","taxamtmat7","taxamtmat8","taxamtmat9","taxamtlab1","taxamtlab2","taxamtlab3","taxamtlab4","taxamtlab5","taxamtlab6","taxamtlab7","taxamthazmat","taxamtshopsupplies","PrintedDate","discountamt","estdiscountamt","EstimateTax","EstimateHazmat","EstimateShopSupplies","CreatedAsEstimate","ReasonForVisit"
,,"X17KLP",18212,,,,,"C",,,,,,51441,,2007-05-14,,24123,"SG",,,77.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-14,,,,,,,
,,"RYL369",30476,,,,,"C",,,,,,74712,,2013-03-05,,41363,"KIT",,,780.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-04,,,,,,,
,,563,11224,,,,,"C",,,,,,54215,,2008-01-04,,20248,"TN",,,120.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-01-03,,,,,,,
,,,16200,,,,,"C",,,,,,40867,,2005-01-04,,21440,"NF",,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-04,,,,,,,
,,"026LFC",29984,,,,,"C",,,,,,73624,,2013-01-05,,40673,"KIT",,,29.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-05,,,,,,,
,,"045YXL",21805,,2008-05-23,,,"C",,,,,,55485,,2008-05-23,,29429,"DM",,,632.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-05-23,,,,,,,
,,"GRGN58",11051,,,,,"C",,,,,,41218,,2005-02-04,,21392,"SG",,,58.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-04,,,,,,,
,,"HHR1055",28731,,,,,"C",,,,,,70736,,2012-08-22,,38846,"TF",,,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-14,,,,,,,
,,"T76WSG",12547,,,,,"C",,,,,,47008,,2006-05-26,,21975,"SG",,,106.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-05-26,,,,,,,
,,"8216AB",24017,,,,,"C",,,,,,60101,,2009-12-16,,32487,"JD",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-01,,,,,,,
,,"982RZY",14287,,,,,"C",,,,,,67014,,2011-11-02,,28752,"TN",,,180.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-01,,,,,,,
,,"N59GHZ",17141,,,,,"C",,,,,,42781,,2005-06-17,,22672,"SG",,,180.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-15,,,,,,,
,,"856KCL",16922,,,,,"C",,,,,,42299,,2005-05-12,,22392,"JB",,,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-12,,,,,,,
,,"Y19YSG",19375,,,,,"C",,,,,,48594,,2006-09-22,,25849,"SG",,,286.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-09-22,,,,,,,
,,"3WDBR",18570,,,,,"C",,,,,,47801,,2006-07-26,,24686,"RA",,,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-26,,,,,,,
,,"BD1Y281",26159,,,,,"C",,,,,,68156,,2012-02-24,,35396,"CB",,,2595.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-21,,,,,,,
,,"J42KTH",18122,,,,,"C",,,,,,45337,,2006-01-12,,24001,"CG",,,616.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-10,,,,,,,
,,"BB3P179",26921,,,,,"C",,,,,,68393,,2012-03-20,,37304,"KIT",,,310.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-13,,,,,,,
,,"493 RKJ",15056,,,,,"C",,,,,,50686,,2007-03-14,,26992,"NM",,,386.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-14,,,,,,,
,,"8HX-K20",1399,,,,,"C",,,,,,66710,,2011-10-04,,18133,"CB",,,150.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-03,,,,,,,
,,"3BXYC",28758,,,,,"C",,,,,,74098,,2013-01-31,,38883,"KIT",,,22.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-31,,,,,,,
,,"BY5V497",25482,,,,,"C",,,,,,67728,,2012-01-14,,34493,"CB",,,505.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-12,,,,,,,
,,"F74SGV",20088,,,,,"C",,,,,,50494,,2007-02-28,,26889,"SG",,,590.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-27,,,,,,,
,,"NK6342",11279,,,,,"C",,,,,,43565,,2005-08-18,,14143,"CG",,,231.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-15,,,,,,,
,,"9GDXN",8655,,,,,"C",,,,,,71017,,2012-08-28,,21982,111,,,94.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-27,,,,,,,
,,"J80DNY",13140,,,,,"C",,,,,,46349,,2006-04-06,,17187,"CG",,,95.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-06,,,,,,,
,,,20376,,,,,"V",,,,,,51323,,,,27287,"MS",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-04,,,,,,,
,,"80T DK4",28489,,,,,"C",,,,,,70816,,2012-08-18,,38899,"KIT",,,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-18,,,,,,,
,,"PH7LKT",15431,,,,,"C",,,,,,42147,,2005-04-29,,20324,"SG",,,36.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-29,,,,,,,
,,"V24HMB",16191,,,,,"C",,,,,,61429,,2010-04-24,,33260,"JD",,,284.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-24,,,,,,,
,,"30TDN3",24356,,,,,"C",,,,,,60822,,2010-02-24,,32960,"CB",,,970.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-20,,,,,,,
,,3,28792,,,,,"C",,,,,,70857,,2012-08-21,,38929,111,,,72.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-20,,,,,,,
,,"TGG 57F",20090,,,,,"C",,,,,,50497,,2007-03-02,,26892,"SG",,,481.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-02-27,,,,,,,
,,,24437,,,,,"C",,,,,,62194,,2010-07-09,,33618,"TN",,,35.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-09,,,,,,,
,,"9MDR58",19078,,,,,"C",,,,,,48889,,2006-10-21,,25830,"SG",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-13,,,,,,,
,,"883FPB",14879,,,,,"C",,,,,,46607,,2006-04-26,,24659,"CG",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-25,,,,,,,
,,,18912,,,,,"C",,,,,,51515,,2007-05-22,,27374,"SG",,,43.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-22,,,,,,,
,,,18598,,,,,"C",,,,,,47093,,2006-06-12,,24729,"SG",,,351.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-03,,,,,,,
,,"AMX1423",26760,,,,,"V",,,,,,66391,,,,36167,"TN",,,1387.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-03,,,,,,,
,,"7JTR83",12843,,,,,"C",,,,,,53107,,2007-09-28,,23052,"SG",,,16.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-28,,,,,,,
,,"Z47WXB",20568,,,,,"C",,,,,,51824,,2007-06-15,,27562,"SG",,,157.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-06-15,,,,,,,
,,"9411AH",23949,,,,,"C",,,,,,59955,,2009-11-20,,32389,"CB",,,243.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-11-16,,,,,,,
,,,19753,,,,,"C",,,,,,49613,,2006-12-12,,26409,"SG",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-12,,,,,,,
