"keyid","workid","seqno","description","performed","qty","cost","price","sale","partno","hours_charged","hours_actual","hours_pay","version","taxdollars","part_labor","discountlevel","vendorcode","tax1","tax2","tax3","tax4","tax5","tax6","tax7","tax8","tax9","tax10","acctclass","category","staticamt","techsel","TechNum","partConfirm","partCommited","accessory","part_unique","Commission","package","Symptom","LongCode","ReqCode","sMfgCode","sTSBSymptom","sTSBCategory","sTSBSystem","sUpcCode","sPartsHier","QtyConfirmed","ConfirmNum","sTSBTitle","sWDLineCode","sAffGrpId","sCatPartType","fList","bPartOrdered"
-3,-3,0,"Environmental",,0,0,0,0,,0,0,-9.12E+019,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,0,,0,0,,,,,,,0,,,,,,0,FALSE
-2,-2,0,"Shop Supplies",,0,0,0,0,,0,0,-9.12E+019,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,0,,0,0,,,,,,,0,,,,,,0,FALSE
-1,-1,0,,,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,0,,0,0,,,,,,,0,,,,,,0,FALSE
175,65,1,"30,000 Mile Maintenance","Verify from customer when last major service was performed.  Gather any other important vehicle information from customer.  Change engine oil and filter.  Lubricate chassis where possible.  Replace PCV.  Change transmission and/or differential fluids.  Re",0,0,0,0,,0,0,0,3,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,120,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
176,66,1,"60,000 Mile Maintenance","Verify from customer when last major service was performed.  Gather any other important vehicle information from customer.  Change engine oil and filter.  Lubricate chassis where possible.  Replace PCV.  Change transmission and/or differential fluids.  Re",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,120,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
177,67,1,"120,000 Mile Maintenance","Verify from customer when last major service was performed.  Gather any other important vehicle information from customer.  Change engine oil and filter.  Lubricate chassis where possible.  Replace PCV.  Change transmission and/or differential fluids.  Re",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,120,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
178,68,1,"90,000 Mile Maintenance","Verify from customer when last major service was performed.  Gather any other important vehicle information from customer.  Change engine oil and filter.  Lubricate chassis where possible.  Change transmission and/or differential fluids.  Replace air filt",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,120,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
179,69,1,"Replace front struts","Check condition of front struts.  Found poor front struts.  Removed and replaced front struts.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,146,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
180,70,1,"Replace rear struts","Check condition of rear struts.  Found poor rear struts.  Removed and replaced rear struts.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,146,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
181,71,1,"Replace front shocks","Check condition of front shocks.  Found poor front shocks.  Removed and replaced front shocks.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,146,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
